Model / Configuration,SSIM,LPIPS,CLIP Score,Runtime (s)
SD vs ControlNet: SD Only,0.235,0.658,0.283,5.473
SD vs ControlNet: SD + ControlNet,0.308,0.531,0.272,7.345
ControlNet vs IP-Adapter: ControlNet Only,0.308,0.531,0.273,6.317
ControlNet vs IP-Adapter: ControlNet + IP-Adapter,0.33,0.529,0.279,6.445
Ablation: SD Only,0.237,0.665,0.285,4.81
Ablation: Without ControlNet,0.281,0.655,0.277,4.871
Ablation: Without IP-Adapter,0.327,0.503,0.254,6.309
Ablation: Without BLIP-2,0.331,0.527,0.277,6.525
Ablation: Full Pipeline,0.341,0.514,0.266,6.227
Multi-weather: Snow Ref 1,0.341,0.514,0.266,6.036
Multi-weather: Snow Ref 2,0.319,0.534,0.258,6.097
Multi-weather: Rain Ref 1,0.343,0.51,0.294,6.111
Multi-weather: Rain Ref 2,0.3,0.547,0.279,6.126
Multi-weather: Fog Ref 1,0.387,0.482,0.269,6.1
Multi-weather: Fog Ref 2,0.389,0.488,0.265,6.113
