experiment,image_id,model,weather_condition,reference_index,clip_prompt,ssim,lpips,clip_score,runtime_seconds,output_path
baseline_vs_controlnet,road_01,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.34489189300312106,0.5595400333404541,0.33653274178504944,6.64,/content/image-data-generation/results/baseline_vs_controlnet/road_01/baseline_sd.png
baseline_vs_controlnet,road_01,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.3753244653621855,0.5040119290351868,0.3075603246688843,6.86,/content/image-data-generation/results/baseline_vs_controlnet/road_01/controlnet_depth.png
baseline_vs_controlnet,road_02,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.13375627702139806,0.6834590435028076,0.2935755252838135,5.07,/content/image-data-generation/results/baseline_vs_controlnet/road_02/baseline_sd.png
baseline_vs_controlnet,road_02,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.19468373456351942,0.5613679885864258,0.2701629102230072,6.92,/content/image-data-generation/results/baseline_vs_controlnet/road_02/controlnet_depth.png
baseline_vs_controlnet,road_03,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.16060739121767634,0.687888503074646,0.28292834758758545,5.12,/content/image-data-generation/results/baseline_vs_controlnet/road_03/baseline_sd.png
baseline_vs_controlnet,road_03,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.24200046119133725,0.4725876748561859,0.2586175203323364,6.99,/content/image-data-generation/results/baseline_vs_controlnet/road_03/controlnet_depth.png
baseline_vs_controlnet,road_04,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.16067211811495785,0.6089684963226318,0.283069908618927,5.22,/content/image-data-generation/results/baseline_vs_controlnet/road_04/baseline_sd.png
baseline_vs_controlnet,road_04,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.2122455786218835,0.5221234560012817,0.31181004643440247,7.13,/content/image-data-generation/results/baseline_vs_controlnet/road_04/controlnet_depth.png
baseline_vs_controlnet,road_05,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.33750730640885873,0.6677943468093872,0.2933776378631592,5.28,/content/image-data-generation/results/baseline_vs_controlnet/road_05/baseline_sd.png
baseline_vs_controlnet,road_05,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.3994427777279937,0.5463435649871826,0.2958548963069916,7.29,/content/image-data-generation/results/baseline_vs_controlnet/road_05/controlnet_depth.png
baseline_vs_controlnet,road_06,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.21757207597401163,0.7161638736724854,0.25465697050094604,5.41,/content/image-data-generation/results/baseline_vs_controlnet/road_06/baseline_sd.png
baseline_vs_controlnet,road_06,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.3717730506287489,0.47686049342155457,0.23712486028671265,7.42,/content/image-data-generation/results/baseline_vs_controlnet/road_06/controlnet_depth.png
baseline_vs_controlnet,road_07,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.2733274392459441,0.6736046671867371,0.3021930456161499,5.37,/content/image-data-generation/results/baseline_vs_controlnet/road_07/baseline_sd.png
baseline_vs_controlnet,road_07,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.2936897954458204,0.5777868032455444,0.30167895555496216,7.31,/content/image-data-generation/results/baseline_vs_controlnet/road_07/controlnet_depth.png
baseline_vs_controlnet,road_08,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.4148417512983564,0.6198867559432983,0.23122501373291016,5.33,/content/image-data-generation/results/baseline_vs_controlnet/road_08/baseline_sd.png
baseline_vs_controlnet,road_08,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.5473373968516726,0.4610680937767029,0.2758031487464905,7.32,/content/image-data-generation/results/baseline_vs_controlnet/road_08/controlnet_depth.png
baseline_vs_controlnet,road_09,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.3166958378266341,0.6181910634040833,0.23788335919380188,5.47,/content/image-data-generation/results/baseline_vs_controlnet/road_09/baseline_sd.png
baseline_vs_controlnet,road_09,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.3633861215309893,0.4967889189720154,0.27609559893608093,7.5,/content/image-data-generation/results/baseline_vs_controlnet/road_09/controlnet_depth.png
baseline_vs_controlnet,road_10,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.20571654715894336,0.6642981767654419,0.262837678194046,5.53,/content/image-data-generation/results/baseline_vs_controlnet/road_10/baseline_sd.png
baseline_vs_controlnet,road_10,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.3635294031697234,0.513941764831543,0.2560007870197296,7.51,/content/image-data-generation/results/baseline_vs_controlnet/road_10/controlnet_depth.png
baseline_vs_controlnet,road_11,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.34625350865095256,0.6772518754005432,0.27439039945602417,5.49,/content/image-data-generation/results/baseline_vs_controlnet/road_11/baseline_sd.png
baseline_vs_controlnet,road_11,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.3791458132020997,0.5553868412971497,0.22057080268859863,7.46,/content/image-data-generation/results/baseline_vs_controlnet/road_11/controlnet_depth.png
baseline_vs_controlnet,road_12,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.1729864673012754,0.6435859799385071,0.2983868718147278,5.45,/content/image-data-generation/results/baseline_vs_controlnet/road_12/baseline_sd.png
baseline_vs_controlnet,road_12,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.27540275634563827,0.5200413465499878,0.2642858624458313,7.57,/content/image-data-generation/results/baseline_vs_controlnet/road_12/controlnet_depth.png
baseline_vs_controlnet,road_13,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.22491251587999095,0.676638126373291,0.2945922613143921,5.58,/content/image-data-generation/results/baseline_vs_controlnet/road_13/baseline_sd.png
baseline_vs_controlnet,road_13,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.3069120639388408,0.5397189855575562,0.24429865181446075,7.66,/content/image-data-generation/results/baseline_vs_controlnet/road_13/controlnet_depth.png
baseline_vs_controlnet,road_14,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.10860936752884627,0.7123677730560303,0.304516077041626,5.6,/content/image-data-generation/results/baseline_vs_controlnet/road_14/baseline_sd.png
baseline_vs_controlnet,road_14,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.15219098583712554,0.6465851068496704,0.30379098653793335,7.64,/content/image-data-generation/results/baseline_vs_controlnet/road_14/controlnet_depth.png
baseline_vs_controlnet,road_15,baseline_sd,snow,,snowy winter road scene with heavy snowfall,0.11234123710231181,0.6669443845748901,0.291368693113327,5.54,/content/image-data-generation/results/baseline_vs_controlnet/road_15/baseline_sd.png
baseline_vs_controlnet,road_15,controlnet_depth,snow,,snowy winter road scene with heavy snowfall,0.1409405611354203,0.5702580213546753,0.2604590356349945,7.59,/content/image-data-generation/results/baseline_vs_controlnet/road_15/controlnet_depth.png
controlnet_vs_ipadapter,road_01,controlnet_only,snow,,snowy winter road scene with heavy snowfall,0.37571895367320823,0.5041478872299194,0.3044447898864746,5.82,/content/image-data-generation/results/controlnet_vs_ipadapter/road_01/controlnet_only.png
controlnet_vs_ipadapter,road_01,controlnet_ipadapter,snow,,snowy winter road scene with heavy snowfall,0.4560212519651737,0.4606550931930542,0.3234887719154358,5.29,/content/image-data-generation/results/controlnet_vs_ipadapter/road_01/controlnet_ipadapter.png
controlnet_vs_ipadapter,road_02,controlnet_only,snow,,snowy winter road scene with heavy snowfall,0.1946977743980743,0.5613131523132324,0.2737717032432556,5.33,/content/image-data-generation/results/controlnet_vs_ipadapter/road_02/controlnet_only.png
controlnet_vs_ipadapter,road_02,controlnet_ipadapter,snow,,snowy winter road scene with heavy snowfall,0.19034476689104082,0.6023026704788208,0.3124580383300781,5.47,/content/image-data-generation/results/controlnet_vs_ipadapter/road_02/controlnet_ipadapter.png
controlnet_vs_ipadapter,road_03,controlnet_only,snow,,snowy winter road scene with heavy snowfall,0.24192148099862817,0.4726124703884125,0.25885292887687683,5.49,/content/image-data-generation/results/controlnet_vs_ipadapter/road_03/controlnet_only.png
controlnet_vs_ipadapter,road_03,controlnet_ipadapter,snow,,snowy winter road scene with heavy snowfall,0.23618491402826702,0.4987150728702545,0.24859413504600525,5.61,/content/image-data-generation/results/controlnet_vs_ipadapter/road_03/controlnet_ipadapter.png
controlnet_vs_ipadapter,road_04,controlnet_only,snow,,snowy winter road scene with heavy snowfall,0.21201685919965393,0.522130012512207,0.31156104803085327,5.66,/content/image-data-generation/results/controlnet_vs_ipadapter/road_04/controlnet_only.png
controlnet_vs_ipadapter,road_04,controlnet_ipadapter,snow,,snowy winter road scene with heavy snowfall,0.22482810397678663,0.5021885633468628,0.2937554121017456,5.83,/content/image-data-generation/results/controlnet_vs_ipadapter/road_04/controlnet_ipadapter.png
controlnet_vs_ipadapter,road_05,controlnet_only,snow,,snowy winter road scene with heavy snowfall,0.399215306589519,0.5462353825569153,0.2946009337902069,5.9,/content/image-data-generation/results/controlnet_vs_ipadapter/road_05/controlnet_only.png
controlnet_vs_ipadapter,road_05,controlnet_ipadapter,snow,,snowy winter road scene with heavy snowfall,0.42544384772314614,0.5486681461334229,0.2924986481666565,6.13,/content/image-data-generation/results/controlnet_vs_ipadapter/road_05/controlnet_ipadapter.png
controlnet_vs_ipadapter,road_06,controlnet_only,snow,,snowy winter road scene with heavy snowfall,0.37190198255050816,0.4763462543487549,0.2376507818698883,6.21,/content/image-data-generation/results/controlnet_vs_ipadapter/road_06/controlnet_only.png
controlnet_vs_ipadapter,road_06,controlnet_ipadapter,snow,,snowy winter road scene with heavy snowfall,0.41192828448684343,0.47923505306243896,0.2268795669078827,6.41,/content/image-data-generation/results/controlnet_vs_ipadapter/road_06/controlnet_ipadapter.png
controlnet_vs_ipadapter,road_07,controlnet_only,snow,,snowy winter road scene with heavy snowfall,0.2935348138204759,0.5781363248825073,0.29995277523994446,6.37,/content/image-data-generation/results/controlnet_vs_ipadapter/road_07/controlnet_only.png
controlnet_vs_ipadapter,road_07,controlnet_ipadapter,snow,,snowy winter road scene with heavy snowfall,0.28570922581341623,0.6053060293197632,0.3025827407836914,6.5,/content/image-data-generation/results/controlnet_vs_ipadapter/road_07/controlnet_ipadapter.png
controlnet_vs_ipadapter,road_08,controlnet_only,snow,,snowy winter road scene with heavy snowfall,0.5477845705761123,0.4607277512550354,0.27783095836639404,6.48,/content/image-data-generation/results/controlnet_vs_ipadapter/road_08/controlnet_only.png
controlnet_vs_ipadapter,road_08,controlnet_ipadapter,snow,,snowy winter road scene with heavy snowfall,0.5645934987729162,0.42225000262260437,0.2745307683944702,6.8,/content/image-data-generation/results/controlnet_vs_ipadapter/road_08/controlnet_ipadapter.png
controlnet_vs_ipadapter,road_09,controlnet_only,snow,,snowy winter road scene with heavy snowfall,0.36345292833915144,0.4969775080680847,0.2773279547691345,6.89,/content/image-data-generation/results/controlnet_vs_ipadapter/road_09/controlnet_only.png
